Abkhazia;Sukhumi;Gagra
Afghanistan;Kabul;Kandahar
Albania;Tirana;Durrës
Algeria;Algiers;Oran
Andorra;Andorra la Vella;Les Escaldes
Angola;Luanda;Cabinda
Antigua_and_Barbuda;St. John's;All Saints
Argentina;Buenos Aires;Córdoba
Armenia;Yerevan;Gyumri
Aruba;Oranjestad;Sint Nicolaas
Australia;Canberra;Sydney;Melbourne
Austria;Vienna;Graz
Azerbaijan;Baku;Ganja
Bahamas;Nassau;Freeport
Bahrain;Manama;Riffa
Bangladesh;Dhaka;Chittagong
Barbados;Bridgetown;Speightstown
Belarus;Minsk;Homel
Belgium;Brussels;Antwerp
Belize;Belize City;San Ignacio;Belmopan
Benin;Cotonou;Abomey-Calavi;Porto-Novo
Bhutan;Thimphu;Phuntsholing
Bolivia;Santa Cruz de la Sierra;El Alto;Sucre;La Paz;Santa Cruz
Bosnia_and_Herzegovina;Sarajevo;Banja Luka
Botswana;Gaborone;Francistown
Brazil;São Paulo;Rio de Janeiro;Brasília;Sao Paulo City;Salvador;Belo Horizonte;Recife;Belém;Porto Alegre;Fortaleza
Brunei;Bandar Seri Begawan;Kuala Belait
Bulgaria;Sofia;Plovdiv
Burkina_Faso;Ouagadougou;Bobo-Dioulasso
Burundi;Bujumbura;Muyinga
Cambodia;Phnom Penh;Battambang
Cameroon;Douala;Yaoundé
Canada;Toronto;Montreal;Ottawa;Vancouver;Calgary
Cape_Verde;Praia;Mindelo
Central_African_Republic;Bangui;Bimbo
Chad;N'Djamena;Moundou
Chile;Santiago;Puente Alto;Concepción;Valparaíso;Greater Concepción;Greater Valparaíso
China;Shanghai;Beijing
Colombia;Bogotá;Medellín
Comoros;Moroni;Mutsamudu
Cook_Islands;Avarua;Amuri;New Zealand
Costa_Rica;San José;Limón
Croatia;Zagreb;Split
Cuba;Havana;Santiago de Cuba
Curaçao;Willemstad;Sint Michiel
Cyprus;Nicosia;Limassol
Czech_Republic;Prague;Brno;Ostrava
Democratic_Republic_of_the_Congo;Kinshasa;Lubumbashi
Denmark;Copenhagen;Aarhus
Djibouti;Djibouti;Ali Sabieh
Dominica;Roseau;Portsmouth
Dominican_Republic;Santo Domingo;Santiago de los Caballeros
East_Timor;Dili;Dare
Ecuador;Guayaquil;Quito
Egypt;Cairo;Alexandria
El_Salvador;San Salvador;Santa Ana
Equatorial_Guinea;Bata;Malabo
Eritrea;Asmara;Assab
Estonia;Tallinn;Tartu
Ethiopia;Addis Ababa;Dire Dawa
